Tempo (s),Posicao (rad),controle
2.1740424633026123,0,0
2.174142837524414,0,0
2.1742217540740967,0,0
2.1742985248565674,0,0
2.174374580383301,0,0
2.174449920654297,0,0
2.1745243072509766,0,0
2.1745991706848145,0,0
2.1746737957000732,0,0
2.1747536659240723,0,0
2.1748273372650146,0,0
2.1749000549316406,0,0
2.1749725341796875,0,0
2.1750454902648926,0,0
2.1751179695129395,0,0
2.5887820720672607,0,0
2.8772201538085938,0,0
3.366001605987549,0,0
3.8665740489959717,0,0
4.366061210632324,0,0
4.866235971450806,0,0
5.3663694858551025,0,0
5.866624593734741,0,0
6.365825653076172,0,0
6.865981340408325,0,0
7.366177558898926,0,0
7.866332769393921,0,0
8.366451978683472,0,0
8.866586923599243,0,0
9.365692853927612,0,0
9.865838527679443,0,0
10.365961074829102,0,0
10.866085052490234,0,0
11.366273880004883,0,0
11.866511106491089,0,0
12.365716457366943,0,0
12.865874767303467,0,0
13.365983247756958,0,0
13.866137027740479,0,0
14.366256475448608,0,0
14.86638879776001,0,0
15.366527795791626,0,0
15.865660905838013,0,0
16.365830898284912,0,0
16.86597752571106,0,0
17.366148233413696,0,0
17.866393327713013,0,0
18.366535186767578,0,0
18.865679264068604,0,0
19.365782260894775,0,0
19.86589813232422,0,0
20.366016149520874,0,0
20.86613917350769,0,0
21.3663113117218,0,0
21.866442441940308,0,0
22.366610527038574,0,0
22.865736722946167,0,0
23.365842819213867,0,0
23.866145610809326,0,0
24.36632490158081,0,0
24.866453886032104,0,0
25.36660861968994,0,0
25.865748167037964,0,0
26.3659508228302,0,0
26.866081476211548,0,0
27.36629581451416,0,0
27.866429567337036,0,0
28.366556406021118,0,0
28.865675449371338,0,0
29.36580204963684,0,0
29.866007089614868,0,0
30.366163969039917,0,0
30.866275787353516,0,0
31.36647391319275,0,0
31.86662745475769,0,0
32.36584448814392,0,0
32.865965604782104,0,0
33.36610388755798,0,0
33.866244077682495,0,0
34.36636543273926,0,0
34.8664710521698,0,0
35.36664652824402,0,0
35.86602020263672,0,0
36.36622190475464,0,0
36.86633634567261,0,0
37.36653423309326,0,0
37.865683794021606,0,0
38.3658230304718,0,0
38.865943908691406,0,0
39.36607217788696,0,0
39.86618685722351,0,0
40.3663113117218,0,0
40.86640644073486,0,0
41.36659073829651,0,0
41.86581492424011,0,0
42.36602163314819,0,0
42.86614537239075,0,0
43.366276264190674,0,0
43.86640667915344,0,0
44.366533041000366,0,0
44.865638971328735,0,0
45.36572885513306,0,0
45.86585569381714,0,0
46.366023778915405,0,0
46.866145849227905,0,0
47.36631488800049,0,0
47.86655306816101,0,0
48.36572456359863,0,0
48.865851163864136,0,0
49.36594915390015,0,0
49.86607813835144,0,0
50.36618232727051,0,0
50.86627960205078,0,0
51.36643719673157,0,0
51.86655879020691,0,0
52.36573767662048,0,0
52.86585807800293,0,0
53.36598873138428,0,0
53.86621356010437,0,0
54.366342544555664,0,0
54.866461515426636,0,0
55.36656618118286,0,0
55.865665435791016,0,0
56.3658185005188,0,0
56.86593508720398,0,0
57.36609649658203,0,0
57.866230964660645,0,0
58.36632490158081,0,0
58.8664333820343,0,0
59.36653280258179,0,0
59.865737199783325,0,0
60.36584997177124,0,0
60.86596465110779,0,0
61.366172790527344,0,0
61.86631441116333,0,0
62.36649298667908,0,0
62.866615533828735,0,0
63.36571788787842,0,0
63.86590647697449,0,0
64.36601734161377,0,0
64.86611723899841,0,0
65.36620926856995,0,0
65.86641359329224,0,0
66.36659169197083,0,0
66.86569452285767,0,0
67.36586928367615,0,0
67.86596727371216,0,0
68.36609530448914,0,0
68.86618614196777,0,0
69.36629271507263,0,0
69.86638498306274,0,0
70.36650657653809,0,0
70.86658239364624,0,0
71.36574077606201,0,0
71.86594843864441,0,0
72.36615800857544,0,0
72.86627173423767,0,0
73.36638522148132,0,0
73.86649489402771,0,0
74.36661052703857,0,0
74.86570310592651,0,0
75.36580324172974,0,0
75.86589455604553,0,0
76.36605548858643,0,0
76.86615705490112,0,0
77.36633348464966,0,0
77.86651277542114,0,0
78.36564564704895,0,0
78.86575508117676,0,0
79.36586308479309,0,0
79.86578750610352,0,0
80.36570596694946,0,0
80.86655783653259,0,0
81.36599969863892,0,0
81.86633825302124,0,0
82.41601490974426,0,0
82.91633701324463,0,0
83.41570544242859,0,0
83.9162278175354,0,0
84.41573309898376,0,0
84.91614651679993,0,0
85.41653227806091,0,0
85.9158546924591,0,0
86.41620469093323,0,0
86.91652083396912,0,0
87.41585373878479,0,0
87.9161388874054,0,0
88.41633796691895,0,0
88.87164902687073,0,0
89.4163761138916,0,0
89.91668558120728,0,0
90.41625499725342,0,0
90.91653871536255,0,0
91.41646671295166,0,0
91.91572284698486,0,0
92.41610527038574,0.10227428571428557,0.9
92.91651439666748,0.1997638095238082,0
93.41648411750793,0.1997638095238082,0
93.91567158699036,0.1997638095238082,0
94.41578483581543,0.1997638095238082,0
94.9159209728241,0.1997638095238082,0
95.416086435318,0.1997638095238082,0
95.91611313819885,0.1997638095238082,0
96.41605520248413,0.1997638095238082,0
96.91643071174622,0.1997638095238082,0
97.4157567024231,0.1997638095238082,0
97.91635179519653,0.1997638095238082,0
98.41648006439209,0.1997638095238082,0
98.91657996177673,0.1997638095238082,0
99.41636443138123,0.1997638095238082,0
99.91660118103027,0.13696380952380896,0.9
100.41597366333008,0.09988190476190464,0
100.91644620895386,0.09988190476190464,0
101.4159471988678,0.09988190476190464,0
101.91632461547852,0.09988190476190464,0
102.41576671600342,0.09988190476190464,0
102.91596388816833,0.09988190476190464,0
103.41593718528748,0.09988190476190464,0
103.91607904434204,0.09988190476190464,0
104.4166419506073,0.09988190476190464,0
104.9163408279419,0.09988190476190464,0
105.41662263870239,0.09988190476190464,0
105.91665077209473,0.09988190476190464,0
106.41657042503357,0.09988190476190464,0
106.9167230129242,0.04874476190476208,0.31380952380948013
107.41606640815735,0.050240000000000194,0
107.91592216491699,0.050240000000000194,0
108.41607666015625,0.050240000000000194,0
108.91621541976929,0.050240000000000194,0
109.41610860824585,0.050240000000000194,0
109.9162802696228,0.050240000000000194,0
110.41644024848938,0.050240000000000194,0
110.91564917564392,0.050240000000000194,0
111.4158525466919,0.050240000000000194,0
111.91595983505249,0.050240000000000194,0
112.41614103317261,0.050240000000000194,0
112.91625738143921,0.050240000000000194,0
113.41636872291565,0.050240000000000194,0
113.91657376289368,0.050240000000000194,0
114.41571593284607,0.050240000000000194,0
114.91583347320557,0.050240000000000194,0
115.41598749160767,0.050240000000000194,0
115.91610455513,0.050240000000000194,0
116.41627812385559,0.050240000000000194,0
116.91639566421509,0.050240000000000194,0
117.41659998893738,0.050240000000000194,0
117.91572284698486,0.050240000000000194,0
118.41632199287415,0.050240000000000194,0
118.91605162620544,0.050240000000000194,0
119.41638803482056,0.050240000000000194,0
119.91595244407654,0.050240000000000194,0
120.41604971885681,0.050240000000000194,0
120.9166841506958,0.050240000000000194,0
121.41604685783386,0.050240000000000194,0
121.9158251285553,0.09928380952380941,0.1790476190476481
122.41635131835938,0.09988190476190464,0
122.91639399528503,0.09988190476190464,0
123.41577482223511,0.09988190476190464,0
123.91615056991577,0.09988190476190464,0
124.4158067703247,0.09988190476190464,0
124.91659760475159,0.09988190476190464,0
125.41578507423401,0.09988190476190464,0
125.9159939289093,0.09988190476190464,0
126.41607403755188,0.09988190476190464,0
126.91599917411804,0.09988190476190464,0
